ATC,Interchangeable Category Name,DIN,Product Description,Prescriber Type,Reimbursment Price,Price Type,Benefit Status,MFR,Interchangeabiilty Flag
A01AB03,chlorhexidine 0.12% oral rinse,2237452,Peridex 0.12% Oral Rinse,,,,,ZIA,Y
A01AB03,chlorhexidine 0.12% oral rinse,2240433,Perichlor 0.12% Oral Rinse,,,,,PMS,Y
A01AB18,Children 12 Years and Under,903061,Clotrimazole Oral Suspension,DNP,,,FC,CPD,N
A01AB22,,2247104,Periostat 20mg Cap,,,,,PDP,N
A01AC01,triamcinolone acetonide 0.1% oral paste,1964054,Oracort 0.1% Oral Paste,DNP,1.471,M,SF,TAR,Y
A01AC01,triamcinolone acetonide 0.1% oral paste,1999788,Kenalog 0.1% in Orabase (discontinued),,,,,BRI,Y
A01AD02,benzydamine 0.15% oral rinse,1966065,Tantum Oral Rinse (discontinued),,,,,MDS,Y
A01AD02,benzydamine 0.15% oral rinse,2229777,Pharixia 1.5mg/mL Oral Rinse,,,,,PDP,Y
A01AD02,benzydamine 0.15% oral rinse,2239537,pms-Benzydamine 1.5mg/mL Mouthwash,DNP,0.0384,M,E,PMS,Y
A02AB01,,2135620,Basaljel 500mg Cap,DNP,0.15,L,SF,AUR,N
A02AD01,,1966529,Diovol Regular O/L,,,,,CHU,N
A02AF02,,116815,Diovol Plus O/L,,,,,CHU,N
A02AF02,,116882,Diovol Plus Tab,,,,,CHU,N
A02AF02,,2019787,Mylanta Double St Tab,,,,,JNJ,N
A02AH01,,80022194,Sandoz Sodium Bicarbonate 500mg Tab,DNP,0.0754,L,E,SDZ,N
A02AH01,,80030520,Jamp-Sodium Bicarbonate 500mg Tab,DNP,0.072,L,E,JPC,N
A02BA01,cimetidine 200mg tab,584215,Apo-Cimetidine 200mg Tab,DNP,0.3284,M,SF,APX,Y
A02BA01,cimetidine 200mg tab,1916793,Tagamet 200mg Tab (discontinued),,,,,SKR,Y
A02BA01,cimetidine 300mg tab,487872,Apo-Cimetidine 300mg Tab,DNP,0.1791,M,SF,APX,Y
A02BA01,cimetidine 300mg tab,1916815,Tagamet 300mg Tab (discontinued),,,,,GSK,Y
A02BA01,cimetidine 400mg tab,600059,Apo-Cimetidine 400mg Tab,DNP,0.293,M,SF,APX,Y
A02BA01,cimetidine 400mg tab,1916785,Tagamet 400mg Tab (discontinued),,,,,GSK,Y
A02BA01,cimetidine 600mg tab,600067,Apo-Cimetidine 600mg Tab,DNP,0.3405,M,SF,APX,Y
A02BA01,cimetidine 600mg tab,1916777,Tagamet 600mg Tab (discontinued),,,,,GSK,Y
A02BA02,ranitidine 150mg tab,733059,Apo-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,APX,Y
A02BA02,ranitidine 150mg tab,2212331,Zantac 150mg Tab (discontinued),,,,,GSK,Y
A02BA02,ranitidine 150mg tab,2242453,pms-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,PMS,Y
A02BA02,ranitidine 150mg tab,2243229,Sandoz Ranitidine 150mg Tab,DNP,0.1197,M,SFC,SDZ,Y
A02BA02,ranitidine 150mg tab,2248570,CO Ranitidine 150mg Tab,DNP,0.1197,M,SFC,ATV,Y
A02BA02,ranitidine 150mg tab,2336480,RAN-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,RAN,Y
A02BA02,ranitidine 150mg tab,2353016,Ranitidine 150mg Tab,DNP,0.1197,M,SFC,SAS,Y
A02BA02,ranitidine 150mg tab,2385953,Ranitidine-150mg Tab,DNP,0.1197,M,SFC,SIV,Y
A02BA02,ranitidine 15mg/mL o/l,2212374,Zantac 15mg/mL O/L (discontinued),,,,,GSK,Y
A02BA02,ranitidine 15mg/mL o/l,2242940,Novo-Ranitidine 15mg/mL O/L,DNP,0.0932,M,SFC,TEV,Y
A02BA02,ranitidine 15mg/mL o/l,2280833,Apo-Ranitidine 15mg/mL O/L,,,,,APX,Y
A02BA02,ranitidine 25mg/mL inj,2212366,Zantac 25mg/mL Inj,DNP,1.3976,M,SFC,GSK,Y
A02BA02,ranitidine 25mg/mL inj,2256711,Ranitidine 25mg/mL Inj,DNP,1.3976,M,SFC,SDZ,Y
A02BA02,ranitidine 300mg tab,733067,Apo-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,APX,Y
A02BA02,ranitidine 300mg tab,2212358,Zantac 300mg Tab (discontinued),,,,,GSK,Y
A02BA02,ranitidine 300mg tab,2242454,pms-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,PMS,Y
A02BA02,ranitidine 300mg tab,2243230,Sandoz Ranitidine 300mg Tab,DNP,0.2253,M,SFC,SDZ,Y
A02BA02,ranitidine 300mg tab,2248571,CO Ranitidine 300mg Tab,DNP,0.2253,M,SFC,ATV,Y
A02BA02,ranitidine 300mg tab,2336502,RAN-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,RAN,Y
A02BA02,ranitidine 300mg tab,2353024,Ranitidine 300mg Tab,DNP,0.2253,M,SFC,SAS,Y
A02BA02,ranitidine 300mg tab,2385961,Ranitidine-300mg Tab,DNP,0.2253,M,SFC,SIV,Y
