Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Central,F,0 to 9,"20,520","2,229",10.86
01/01/2000 12:00:00 AM,Central,F,10 to 19,"23,171","2,883",12.44
01/01/2000 12:00:00 AM,Central,F,20 to 29,"23,475","2,103",8.96
01/01/2000 12:00:00 AM,Central,F,30 to 39,"29,410","1,995",6.78
01/01/2000 12:00:00 AM,Central,F,40 to 49,"29,328","2,151",7.33
01/01/2000 12:00:00 AM,Central,F,50 to 59,"21,582","1,722",7.98
01/01/2000 12:00:00 AM,Central,F,60 to 69,"13,577",966,7.11
01/01/2000 12:00:00 AM,Central,F,70 to 79,"11,175",764,6.84
01/01/2000 12:00:00 AM,Central,F,80 +,"7,973",434,5.44
01/01/2000 12:00:00 AM,Central,M,0 to 9,"21,025","3,130",14.89
01/01/2000 12:00:00 AM,Central,M,10 to 19,"24,205","3,563",14.72
01/01/2000 12:00:00 AM,Central,M,20 to 29,"22,118","1,177",5.32
01/01/2000 12:00:00 AM,Central,M,30 to 39,"26,849",996,3.71
01/01/2000 12:00:00 AM,Central,M,40 to 49,"27,221",970,3.56
01/01/2000 12:00:00 AM,Central,M,50 to 59,"20,608",760,3.69
01/01/2000 12:00:00 AM,Central,M,60 to 69,"12,718",550,4.32
01/01/2000 12:00:00 AM,Central,M,70 to 79,"8,289",374,4.51
01/01/2000 12:00:00 AM,Central,M,80 +,"3,798",183,4.82
01/01/2000 12:00:00 AM,Eastern,F,0 to 9,"7,937",828,10.43
01/01/2000 12:00:00 AM,Eastern,F,10 to 19,"8,077",772,9.56
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,"8,569",531,6.2
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,"11,131",502,4.51
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,"13,870",672,4.84
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,"11,414",631,5.53
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,"7,950",428,5.38
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,"6,336",319,5.03
01/01/2000 12:00:00 AM,Eastern,F,80 +,"5,273",235,4.46
01/01/2000 12:00:00 AM,Eastern,M,0 to 9,"8,385","1,203",14.35
01/01/2000 12:00:00 AM,Eastern,M,10 to 19,"8,791","1,047",11.91
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,"8,517",344,4.04
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,"10,854",272,2.51
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,"13,629",350,2.57
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,"11,828",317,2.68
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,"7,718",252,3.27
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,"5,072",197,3.88
01/01/2000 12:00:00 AM,Eastern,M,80 +,"2,706",101,3.73
01/01/2000 12:00:00 AM,Northern,F,0 to 9,"7,445",700,9.4
01/01/2000 12:00:00 AM,Northern,F,10 to 19,"7,639",811,10.62
01/01/2000 12:00:00 AM,Northern,F,20 to 29,"8,460",636,7.52
01/01/2000 12:00:00 AM,Northern,F,30 to 39,"10,816",598,5.53
01/01/2000 12:00:00 AM,Northern,F,40 to 49,"12,084",701,5.8
01/01/2000 12:00:00 AM,Northern,F,50 to 59,"9,758",610,6.25
01/01/2000 12:00:00 AM,Northern,F,60 to 69,"6,507",388,5.96
01/01/2000 12:00:00 AM,Northern,F,70 to 79,"5,545",285,5.14
01/01/2000 12:00:00 AM,Northern,F,80 +,"4,436",212,4.78
01/01/2000 12:00:00 AM,Northern,M,0 to 9,"8,156","1,118",13.71
01/01/2000 12:00:00 AM,Northern,M,10 to 19,"8,081",932,11.53
01/01/2000 12:00:00 AM,Northern,M,20 to 29,"8,313",367,4.41
01/01/2000 12:00:00 AM,Northern,M,30 to 39,"10,497",319,3.04
01/01/2000 12:00:00 AM,Northern,M,40 to 49,"11,934",349,2.92
01/01/2000 12:00:00 AM,Northern,M,50 to 59,"10,018",284,2.83
01/01/2000 12:00:00 AM,Northern,M,60 to 69,"6,371",217,3.41
01/01/2000 12:00:00 AM,Northern,M,70 to 79,"4,332",185,4.27
01/01/2000 12:00:00 AM,Northern,M,80 +,"2,220",100,4.5
01/01/2000 12:00:00 AM,Unknown,F,0 to 9,"8,833",801,9.07
01/01/2000 12:00:00 AM,Unknown,F,10 to 19,"14,243","1,472",10.33
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,"12,660",828,6.54
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,"10,151",530,5.22
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,"7,285",409,5.61
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,"4,797",274,5.71
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,"2,886",161,5.58
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,"2,244",122,5.44
01/01/2000 12:00:00 AM,Unknown,F,80 +,"1,639",67,4.09
01/01/2000 12:00:00 AM,Unknown,M,0 to 9,"8,586","1,144",13.32
01/01/2000 12:00:00 AM,Unknown,M,10 to 19,"14,489","1,684",11.62
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,"12,458",545,4.37
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,"9,211",239,2.59
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,"6,814",176,2.58
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,"4,584",131,2.86
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,"2,738",111,4.05
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,"1,606",57,3.55
01/01/2000 12:00:00 AM,Unknown,M,80 +,805,36,4.47
01/01/2000 12:00:00 AM,Western,F,0 to 9,"9,158",836,9.13
01/01/2000 12:00:00 AM,Western,F,10 to 19,"9,597",997,10.39
01/01/2000 12:00:00 AM,Western,F,20 to 29,"10,324",768,7.44
01/01/2000 12:00:00 AM,Western,F,30 to 39,"14,307",859,6
01/01/2000 12:00:00 AM,Western,F,40 to 49,"16,498",938,5.69
01/01/2000 12:00:00 AM,Western,F,50 to 59,"13,854",847,6.11
01/01/2000 12:00:00 AM,Western,F,60 to 69,"9,392",556,5.92
01/01/2000 12:00:00 AM,Western,F,70 to 79,"7,542",438,5.81
01/01/2000 12:00:00 AM,Western,F,80 +,"6,034",258,4.28
01/01/2000 12:00:00 AM,Western,M,0 to 9,"9,998","1,296",12.96
01/01/2000 12:00:00 AM,Western,M,10 to 19,"10,073","1,170",11.62
01/01/2000 12:00:00 AM,Western,M,20 to 29,"10,216",409,4
01/01/2000 12:00:00 AM,Western,M,30 to 39,"13,831",457,3.3
01/01/2000 12:00:00 AM,Western,M,40 to 49,"15,993",482,3.01
01/01/2000 12:00:00 AM,Western,M,50 to 59,"13,771",446,3.24
01/01/2000 12:00:00 AM,Western,M,60 to 69,"9,321",340,3.65
01/01/2000 12:00:00 AM,Western,M,70 to 79,"6,367",286,4.49
01/01/2000 12:00:00 AM,Western,M,80 +,"3,440",153,4.45
01/01/2001 12:00:00 AM,Central,F,0 to 9,"20,080","2,173",10.82
01/01/2001 12:00:00 AM,Central,F,10 to 19,"23,519","3,225",13.71
01/01/2001 12:00:00 AM,Central,F,20 to 29,"23,533","2,304",9.79
01/01/2001 12:00:00 AM,Central,F,30 to 39,"29,177","2,191",7.51
01/01/2001 12:00:00 AM,Central,F,40 to 49,"30,288","2,453",8.1
01/01/2001 12:00:00 AM,Central,F,50 to 59,"22,571","1,964",8.7
01/01/2001 12:00:00 AM,Central,F,60 to 69,"13,941","1,109",7.95
01/01/2001 12:00:00 AM,Central,F,70 to 79,"11,226",841,7.49
01/01/2001 12:00:00 AM,Central,F,80 +,"8,302",488,5.88
01/01/2001 12:00:00 AM,Central,M,0 to 9,"20,697","3,156",15.25
01/01/2001 12:00:00 AM,Central,M,10 to 19,"24,567","4,044",16.46
01/01/2001 12:00:00 AM,Central,M,20 to 29,"22,276","1,395",6.26
01/01/2001 12:00:00 AM,Central,M,30 to 39,"26,681","1,099",4.12
01/01/2001 12:00:00 AM,Central,M,40 to 49,"28,299","1,132",4
01/01/2001 12:00:00 AM,Central,M,50 to 59,"21,391",882,4.12
