Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2000 12:00:00 AM,Central,F,20 to 29,"23,475",315,1.34
01/01/2000 12:00:00 AM,Central,F,30 to 39,"29,410","1,349",4.59
01/01/2000 12:00:00 AM,Central,F,40 to 49,"29,328","3,182",10.85
01/01/2000 12:00:00 AM,Central,F,50 to 59,"21,582","5,863",27.17
01/01/2000 12:00:00 AM,Central,F,60 to 69,"13,577","6,260",46.11
01/01/2000 12:00:00 AM,Central,F,70 to 79,"11,175","6,835",61.16
01/01/2000 12:00:00 AM,Central,F,80 +,"7,973","5,270",66.1
01/01/2000 12:00:00 AM,Central,M,20 to 29,"22,118",243,1.1
01/01/2000 12:00:00 AM,Central,M,30 to 39,"26,849","1,153",4.29
01/01/2000 12:00:00 AM,Central,M,40 to 49,"27,221","2,919",10.72
01/01/2000 12:00:00 AM,Central,M,50 to 59,"20,608","5,075",24.63
01/01/2000 12:00:00 AM,Central,M,60 to 69,"12,718","5,282",41.53
01/01/2000 12:00:00 AM,Central,M,70 to 79,"8,289","4,527",54.61
01/01/2000 12:00:00 AM,Central,M,80 +,"3,798","2,166",57.03
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,"8,569",159,1.86
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,"11,131",712,6.4
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,"13,870","2,035",14.67
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,"11,414","3,664",32.1
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,"7,950","3,822",48.08
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,"6,336","3,963",62.55
01/01/2000 12:00:00 AM,Eastern,F,80 +,"5,273","3,377",64.04
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,"8,517",136,1.6
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,"10,854",606,5.58
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,"13,629","1,841",13.51
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,"11,828","3,218",27.21
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,"7,718","3,231",41.86
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,"5,072","2,757",54.36
01/01/2000 12:00:00 AM,Eastern,M,80 +,"2,706","1,451",53.62
01/01/2000 12:00:00 AM,Northern,F,20 to 29,"8,460",158,1.87
01/01/2000 12:00:00 AM,Northern,F,30 to 39,"10,816",634,5.86
01/01/2000 12:00:00 AM,Northern,F,40 to 49,"12,084","1,666",13.79
01/01/2000 12:00:00 AM,Northern,F,50 to 59,"9,758","3,039",31.14
01/01/2000 12:00:00 AM,Northern,F,60 to 69,"6,507","3,145",48.33
01/01/2000 12:00:00 AM,Northern,F,70 to 79,"5,545","3,489",62.92
01/01/2000 12:00:00 AM,Northern,F,80 +,"4,436","2,924",65.92
01/01/2000 12:00:00 AM,Northern,M,20 to 29,"8,313",129,1.55
01/01/2000 12:00:00 AM,Northern,M,30 to 39,"10,497",574,5.47
01/01/2000 12:00:00 AM,Northern,M,40 to 49,"11,934","1,511",12.66
01/01/2000 12:00:00 AM,Northern,M,50 to 59,"10,018","2,681",26.76
01/01/2000 12:00:00 AM,Northern,M,60 to 69,"6,371","2,675",41.99
01/01/2000 12:00:00 AM,Northern,M,70 to 79,"4,332","2,315",53.44
01/01/2000 12:00:00 AM,Northern,M,80 +,"2,220","1,269",57.16
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,"12,660",119,0.94
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,"10,151",294,2.9
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,"7,285",666,9.14
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,"4,797","1,160",24.18
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,"2,886","1,152",39.92
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,"2,244","1,300",57.93
01/01/2000 12:00:00 AM,Unknown,F,80 +,"1,639",975,59.49
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,"12,458",125,1
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,"9,211",332,3.6
