Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Central,F,20 to 29,"23,475",26,0.11
01/01/2000 12:00:00 AM,Central,F,30 to 39,"29,410",95,0.32
01/01/2000 12:00:00 AM,Central,F,40 to 49,"29,328",363,1.24
01/01/2000 12:00:00 AM,Central,F,50 to 59,"21,582","1,043",4.83
01/01/2000 12:00:00 AM,Central,F,60 to 69,"13,577","1,569",11.56
01/01/2000 12:00:00 AM,Central,F,70 to 79,"11,175","2,303",20.61
01/01/2000 12:00:00 AM,Central,F,80 +,"7,973","2,116",26.54
01/01/2000 12:00:00 AM,Central,M,20 to 29,"22,118",28,0.13
01/01/2000 12:00:00 AM,Central,M,30 to 39,"26,849",138,0.51
01/01/2000 12:00:00 AM,Central,M,40 to 49,"27,221",693,2.55
01/01/2000 12:00:00 AM,Central,M,50 to 59,"20,608","1,881",9.13
01/01/2000 12:00:00 AM,Central,M,60 to 69,"12,718","2,590",20.36
01/01/2000 12:00:00 AM,Central,M,70 to 79,"8,289","2,690",32.45
01/01/2000 12:00:00 AM,Central,M,80 +,"3,798","1,462",38.49
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,"8,569",7,0.08
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,"11,131",44,0.4
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,"13,870",220,1.59
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,"11,414",584,5.12
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,"7,950",976,12.28
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,"6,336","1,312",20.71
01/01/2000 12:00:00 AM,Eastern,F,80 +,"5,273","1,396",26.47
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,"8,517",10,0.12
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,"10,854",61,0.56
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,"13,629",450,3.3
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,"11,828","1,168",9.87
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,"7,718","1,490",19.31
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,"5,072","1,542",30.4
01/01/2000 12:00:00 AM,Eastern,M,80 +,"2,706",950,35.11
01/01/2000 12:00:00 AM,Northern,F,20 to 29,"8,460",6,0.07
01/01/2000 12:00:00 AM,Northern,F,30 to 39,"10,816",26,0.24
01/01/2000 12:00:00 AM,Northern,F,40 to 49,"12,084",183,1.51
01/01/2000 12:00:00 AM,Northern,F,50 to 59,"9,758",519,5.32
01/01/2000 12:00:00 AM,Northern,F,60 to 69,"6,507",747,11.48
01/01/2000 12:00:00 AM,Northern,F,70 to 79,"5,545","1,078",19.44
01/01/2000 12:00:00 AM,Northern,F,80 +,"4,436","1,190",26.83
01/01/2000 12:00:00 AM,Northern,M,20 to 29,"8,313",12,0.14
01/01/2000 12:00:00 AM,Northern,M,30 to 39,"10,497",67,0.64
01/01/2000 12:00:00 AM,Northern,M,40 to 49,"11,934",356,2.98
01/01/2000 12:00:00 AM,Northern,M,50 to 59,"10,018","1,007",10.05
01/01/2000 12:00:00 AM,Northern,M,60 to 69,"6,371","1,195",18.76
01/01/2000 12:00:00 AM,Northern,M,70 to 79,"4,332","1,340",30.93
01/01/2000 12:00:00 AM,Northern,M,80 +,"2,220",807,36.35
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,"12,660",7,0.06
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,"10,151",19,0.19
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,"7,285",77,1.06
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,"4,797",205,4.27
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,"2,886",291,10.08
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,"2,244",419,18.67
01/01/2000 12:00:00 AM,Unknown,F,80 +,"1,639",404,24.65
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,"12,458",14,0.11
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,"9,211",38,0.41
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,"6,814",148,2.17
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,"4,584",367,8.01
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,"2,738",453,16.54
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,"1,606",439,27.33
01/01/2000 12:00:00 AM,Unknown,M,80 +,805,261,32.42
01/01/2000 12:00:00 AM,Western,F,20 to 29,"10,324",8,0.08
01/01/2000 12:00:00 AM,Western,F,30 to 39,"14,307",41,0.29
01/01/2000 12:00:00 AM,Western,F,40 to 49,"16,498",233,1.41
01/01/2000 12:00:00 AM,Western,F,50 to 59,"13,854",654,4.72
01/01/2000 12:00:00 AM,Western,F,60 to 69,"9,392","1,057",11.25
01/01/2000 12:00:00 AM,Western,F,70 to 79,"7,542","1,510",20.02
01/01/2000 12:00:00 AM,Western,F,80 +,"6,034","1,679",27.83
01/01/2000 12:00:00 AM,Western,M,20 to 29,"10,216",13,0.13
01/01/2000 12:00:00 AM,Western,M,30 to 39,"13,831",70,0.51
01/01/2000 12:00:00 AM,Western,M,40 to 49,"15,993",464,2.9
01/01/2000 12:00:00 AM,Western,M,50 to 59,"13,771","1,310",9.51
01/01/2000 12:00:00 AM,Western,M,60 to 69,"9,321","1,774",19.03
01/01/2000 12:00:00 AM,Western,M,70 to 79,"6,367","2,008",31.54
01/01/2000 12:00:00 AM,Western,M,80 +,"3,440","1,275",37.06
01/01/2001 12:00:00 AM,Central,F,20 to 29,"23,533",26,0.11
01/01/2001 12:00:00 AM,Central,F,30 to 39,"29,177",104,0.36
01/01/2001 12:00:00 AM,Central,F,40 to 49,"30,288",414,1.37
01/01/2001 12:00:00 AM,Central,F,50 to 59,"22,571","1,159",5.13
01/01/2001 12:00:00 AM,Central,F,60 to 69,"13,941","1,683",12.07
01/01/2001 12:00:00 AM,Central,F,70 to 79,"11,226","2,410",21.47
01/01/2001 12:00:00 AM,Central,F,80 +,"8,302","2,268",27.32
01/01/2001 12:00:00 AM,Central,M,20 to 29,"22,276",28,0.13
01/01/2001 12:00:00 AM,Central,M,30 to 39,"26,681",151,0.57
01/01/2001 12:00:00 AM,Central,M,40 to 49,"28,299",746,2.64
01/01/2001 12:00:00 AM,Central,M,50 to 59,"21,391","2,009",9.39
01/01/2001 12:00:00 AM,Central,M,60 to 69,"13,065","2,743",21
01/01/2001 12:00:00 AM,Central,M,70 to 79,"8,454","2,845",33.65
01/01/2001 12:00:00 AM,Central,M,80 +,"4,085","1,609",39.39
01/01/2001 12:00:00 AM,Eastern,F,20 to 29,"8,406",7,0.08
01/01/2001 12:00:00 AM,Eastern,F,30 to 39,"10,821",45,0.42
01/01/2001 12:00:00 AM,Eastern,F,40 to 49,"13,904",228,1.64
01/01/2001 12:00:00 AM,Eastern,F,50 to 59,"11,806",611,5.18
01/01/2001 12:00:00 AM,Eastern,F,60 to 69,"8,076","1,008",12.48
01/01/2001 12:00:00 AM,Eastern,F,70 to 79,"6,309","1,365",21.64
01/01/2001 12:00:00 AM,Eastern,F,80 +,"5,382","1,513",28.11
01/01/2001 12:00:00 AM,Eastern,M,20 to 29,"8,334",10,0.12
01/01/2001 12:00:00 AM,Eastern,M,30 to 39,"10,551",54,0.51
01/01/2001 12:00:00 AM,Eastern,M,40 to 49,"13,608",463,3.4
01/01/2001 12:00:00 AM,Eastern,M,50 to 59,"12,161","1,246",10.25
01/01/2001 12:00:00 AM,Eastern,M,60 to 69,"7,872","1,594",20.25
01/01/2001 12:00:00 AM,Eastern,M,70 to 79,"5,139","1,612",31.37
01/01/2001 12:00:00 AM,Eastern,M,80 +,"2,734","1,021",37.34
01/01/2001 12:00:00 AM,Northern,F,20 to 29,"8,286",7,0.08
01/01/2001 12:00:00 AM,Northern,F,30 to 39,"10,577",36,0.34
01/01/2001 12:00:00 AM,Northern,F,40 to 49,"12,314",189,1.53
01/01/2001 12:00:00 AM,Northern,F,50 to 59,"10,070",560,5.56
01/01/2001 12:00:00 AM,Northern,F,60 to 69,"6,655",804,12.08
01/01/2001 12:00:00 AM,Northern,F,70 to 79,"5,511","1,158",21.01
