ATC,Interchangeable Category Name,DIN,Product Description,Prescriber Type,Reimbursement Price,Price Type,Benefit Status,MFR,Interchangeability Flag
A01AB03,chlorhexidine 0.12% oral rinse,02237452,Peridex 0.12% Oral Rinse,,,,,ZIA,Y
A01AB03,chlorhexidine 0.12% oral rinse,02240433,Perichlor 0.12% Oral Rinse,,,,,PMS,Y
A01AB18,Children 12 Years and Under,00903061,Clotrimazole Oral Suspension,DNP,,,FC,CPD,N
A01AB22,,02247104,Periostat 20mg Cap,,,,,PDP,N
A01AC01,triamcinolone acetonide 0.1% oral paste,01964054,Oracort 0.1% Oral Paste,DNP,1.471,M,SF,TAR,Y
A01AC01,triamcinolone acetonide 0.1% oral paste,01999788,Kenalog 0.1% in Orabase (discontinued),,,,,BRI,Y
A01AD02,benzydamine 0.15% oral rinse,01966065,Tantum Oral Rinse (discontinued),,,,,MDS,Y
A01AD02,benzydamine 0.15% oral rinse,02229777,Pharixia 1.5mg/mL Oral Rinse,,,,,PDP,Y
A01AD02,benzydamine 0.15% oral rinse,02239537,pms-Benzydamine 1.5mg/mL Mouthwash,DNP,0.0384,M,E,PMS,Y
A02AB01,,02135620,Basaljel 500mg Cap,DNP,0.15,L,SF,AUR,N
A02AD01,,01966529,Diovol Regular O/L,,,,,CHU,N
A02AF02,,00116815,Diovol Plus O/L,,,,,CHU,N
A02AF02,,00116882,Diovol Plus Tab,,,,,CHU,N
A02AF02,,02019787,Mylanta Double St Tab,,,,,JNJ,N
A02AH01,,80022194,Sandoz Sodium Bicarbonate 500mg Tab,DNP,0.0754,L,E,SDZ,N
A02AH01,,80030520,Jamp-Sodium Bicarbonate 500mg Tab,DNP,0.072,L,E,JPC,N
A02BA01,cimetidine 200mg tab,00584215,Apo-Cimetidine 200mg Tab,DNP,0.3284,M,SF,APX,Y
A02BA01,cimetidine 200mg tab,01916793,Tagamet 200mg Tab (discontinued),,,,,SKR,Y
A02BA01,cimetidine 300mg tab,00487872,Apo-Cimetidine 300mg Tab,DNP,0.3423,M,SF,APX,Y
A02BA01,cimetidine 300mg tab,01916815,Tagamet 300mg Tab (discontinued),,,,,GSK,Y
A02BA02,ranitidine 150mg tab,00733059,Apo-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,APX,Y
A02BA02,ranitidine 150mg tab,02212331,Zantac 150mg Tab (discontinued),,,,,GSK,Y
A02BA02,ranitidine 150mg tab,02242453,pms-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,PMS,Y
A02BA02,ranitidine 150mg tab,02243229,Sandoz Ranitidine 150mg Tab,DNP,0.1197,M,SFC,SDZ,Y
A02BA02,ranitidine 150mg tab,02248570,CO Ranitidine 150mg Tab,DNP,0.1197,M,SFC,ATV,Y
A02BA02,ranitidine 150mg tab,02336480,RAN-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,RAN,Y
A02BA02,ranitidine 150mg tab,02353016,Ranitidine 150mg Tab,DNP,0.1197,M,SFC,SAS,Y
A02BA02,ranitidine 150mg tab,02385953,Ranitidine-150mg Tab,DNP,0.1197,M,SFC,SIV,Y
A02BA02,ranitidine 150mg tab,02443708,Mar-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,MAR,Y
A02BA02,ranitidine 150mg tab,02463717,Jamp-Ranitidine 150mg Tab,DNP,0.1197,M,SFC,JPC,Y
A02BA02,ranitidine 15mg/mL o/l,02212374,Zantac 15mg/mL O/L (discontinued),,,,,GSK,Y
A02BA02,ranitidine 15mg/mL o/l,02280833,Apo-Ranitidine 15mg/mL O/L,DNP,0.148,M,SFC,APX,Y
A02BA02,ranitidine 25mg/mL inj,02212366,Zantac 25mg/mL Inj (discontinued),,,,,GSK,Y
A02BA02,ranitidine 25mg/mL inj,02256711,Ranitidine 25mg/mL Inj,DNP,1.3976,M,SFC,SDZ,Y
A02BA02,ranitidine 300mg tab,00733067,Apo-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,APX,Y
A02BA02,ranitidine 300mg tab,02212358,Zantac 300mg Tab (discontinued),,,,,GSK,Y
A02BA02,ranitidine 300mg tab,02242454,pms-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,PMS,Y
