Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,,Breast Augmentation,,Zone 3,New Waterford,2019,4,,,16,21
2019_q4,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2019,4,79,176,132,223
2018_q4,,Shoulder Arthroplasty,,Zone 1,Valley Regional,2018,4,106,559,366,714
2019_q4,,Breast Reduction Surgery,,Total,Provincial,2019,4,93,983,70,327
2019_q1,,Pacemaker Insertion,,Zone 4,QE2,2019,1,,,26,67
2018_q3,,Tendon / Ligament Repair,,Total,Provincial,2018,3,69,204,59,265
12month_rolling,Cardiac Surgery,All,"Chedrawy, Edgar",,,,,,,14,79
2019_q1,,Kidney Stone Surgery,,Total,Provincial,2019,1,21,116,40,197
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Smith, Andrew Neil",,,,,29,53,79,101
3month_rolling,,Maxillofacial Deformity Surgery,,Zone 4,Dartmouth General,2019,4,,,410,545
2018_q1,,Septoplasty,,Zone 3,Cape Breton Regional,2018,1,181,280,62,151
12month_rolling,Urology,Kidney Stone Surgery,"Bailly, Greg G",,,,,63,111,47,94
2018_q3,,Pacemaker Insertion,,Zone 4,QE2,2018,3,,,13,34
12month_rolling,Orthopaedic,Knee Scope,"Sequeira, Stanislaus",,,,,104,415,65,142
2018_q3,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2018,3,53,259,22,76
3month_rolling,,Cataract Surgery,,Zone 3,St. Marthas Regional,2019,4,129,311,45,141
2019_q1,,Cornea and External Disease,,Total,Provincial,2019,1,59,417,97,488
2019_q3,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2019,3,,,54,81
2017_q4,,Pelvic Floor Repair,,IWK,IWK,2017,4,172,223,132,197
2019_q1,,Kidney / Upper Urinary Tract,,Zone 4,QE2,2019,1,72,100,23,137
12month_rolling,Urology,All,"Butler, Trevor",,,,,57,65,47,180
2018_q2,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2018,2,,,73,300
2018_q2,,Breast Reduction Surgery,,Total,Provincial,2018,2,105,672,110,309
3month_rolling,All Specialties,,,,,2019,4,,,63,273
12month_rolling,Obstetrics/Gynaecology,All,"Pearsall, Jessica",,,,,34,178,41,84
2017_q4,,Sacral Nerve Stimulation,,Total,Provincial,2017,4,,,98,150
12month_rolling,Urology,Cystoscopy,"Skinner, Thomas",,,,,39,154,34,185
2019_q2,,Female Incontinence Surgery,,IWK,IWK,2019,2,,,82,160
2018_q4,,Lymph Node Biopsy,,Zone 4,QE2,2018,4,,,21,35
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Lapierre, Stephanie",,,,,30,93,28,62
2018_q2,,Hemorrhoidectomy,,Total,Provincial,2018,2,76,187,118,288
12month_rolling,Thoracic Surgery,Lung Surgery,"Henteleff, Harry J",,,,,25,43,50,71
3month_rolling,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Marthas Regional,2019,4,39,78,52,78
2018_q2,,Brain Surgery  (Adult),,Total,Provincial,2018,2,57,220,36,210
2019_q1,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2019,1,63,291,137,294
2017_q4,,Whipple Procedures,,Total,Provincial,2017,4,16,25,25,44
2018_q4,,Hand / Upper Extremity,,Zone 4,QE2,2018,4,102,468,139,527
12month_rolling,Otolaryngology (ENT),All,"Corsten, Martin",,,,,18,98,44,122
12month_rolling,General Surgery,Hernia Repair  (Adult),"Nader, Nabil",,,,,36,90,55,156
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2019,4,161,250,233,394
12month_rolling,Obstetrics/Gynaecology,All,"Lee, Winifred W",,,,,19,19,99,151
2019_q1,,Carpal Tunnel Surgery,,Zone 3,St. Marthas Regional,2019,1,52,121,92,245
2018_q4,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2018,4,,,35,71
2019_q2,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2019,2,35,57,36,66
2019_q1,,Bladder Cancer Surgery,,Total,Provincial,2019,1,27,99,34,101
2018_q3,,Carpal Tunnel Surgery,,Zone 2,Aberdeen Hospital,2018,3,,,79,95
12month_rolling,,Hernia Repair - Ventral,,IWK,IWK,2019,4,34,61,114,178
2019_q1,,Strabismus Surgery  (Pediatric),,Total,Provincial,2019,1,87,195,66,129
3month_rolling,,Lung Cancer Surgery,,Total,Provincial,2019,4,20,43,43,88
2019_q2,,Gallbladder Surgery,,Zone 3,St. Marthas Regional,2019,2,22,51,72,207
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2019,4,40,224,43,149
12month_rolling,Orthopaedic,Knee Scope,"Clarke, Gregory",,,,,56,113,109,225
2018_q3,,Gallbladder Surgery,,Zone 3,Cape Breton Regional,2018,3,26,154,39,107
2019_q2,,Hernia Repair - Incisional,,Total,Provincial,2019,2,52,293,93,247
2018_q2,,Aesthetic Surgery,,Total,Provincial,2018,2,66,567,71,258
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Abutu, Natheniel",,,,,46,58,59,108
2017_q4,,Colorectal Cancer Surgery,,Total,Provincial,2017,4,19,104,25,57
2019_q2,,Shoulder Surgery,,Zone 4,QE2,2019,2,65,336,173,554
2019_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Northside General,2019,3,28,44,,
2018_q4,,Gastric Surgery,,IWK,IWK,2018,4,,,53,72
2018_q1,,Angioplasty,,Total,Provincial,2018,1,,,44,217
2019_q2,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2019,2,86,180,68,150
2019_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,St. Marthas Regional,2019,3,,,60,96
2018_q3,,Cataract Surgery,,Zone 2,Cumberland Regional,2018,3,34,63,89,116
2018_q4,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2018,4,,,28,109
2019_q4,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2019,4,,,25,61
2018_q3,,Hip Replacement Revision,,Total,Provincial,2018,3,82,175,71,219
2019_q1,,Kidney Stone Surgery,,Zone 2,Colchester East Hants Health Centre,2019,1,15,83,40,82
2019_q4,,Shoulder Surgery,,Zone 4,QE2,2019,4,113,246,93,477
2019_q1,,Cystoscopy,,Zone 4,Dartmouth General,2019,1,92,216,32,125
12month_rolling,Ophthalmology,All,"Seamone, Christopher",,,,,82,369,58,339
2018_q2,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2018,2,143,214,139,412
2018_q2,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2018,2,27,43,99,108
2018_q4,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2018,4,106,199,104,275
12month_rolling,Orthopaedic,Hip Replacement Revision,"Orrell, Kevin G",,,,,70,94,27,28
